,molecule_chembl_id,canonical_smiles,class,MW,LogP,NumHDonors,NumHAcceptors,pIC50
1,CHEMBL50117,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,active,396.53500000000025,3.10447,3.0,3.0,6.050609993355087
2,CHEMBL108952,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,active,557.6080000000004,-0.6088999999999953,7.0,8.0,7.721246399047171
3,CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,active,487.60000000000014,3.4704000000000033,2.0,5.0,7.301029995663981
4,CHEMBL337921,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,inactive,474.9730000000002,5.585320000000004,2.0,5.0,5.0
5,CHEMBL340500,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,inactive,480.9770000000003,4.797620000000003,2.0,5.0,5.0
9,CHEMBL323642,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,inactive,436.51200000000006,2.03367,4.0,5.0,5.6020599913279625
11,CHEMBL45692,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC[C@H]2C(=O)NC2CCCCC2)cc1,active,455.6020000000001,4.070040000000002,2.0,3.0,5.87942606879415
12,CHEMBL3142745,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,inactive,498.96700000000027,5.018400000000004,2.0,5.0,7.42021640338319
13,CHEMBL125499,O=C(CCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1F,active,555.6360000000004,0.28870000000000506,6.0,7.0,5.0
14,CHEMBL431443,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)Cc1ccccc1,active,443.5470000000001,3.158800000000002,3.0,4.0,7.366531544420414
