,molecule_chembl_id,canonical_smiles,standard_value,class
0,CHEMBL117716,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc3ccccc3n2)NS(=O)(=O)Cc2ccccc2)C1O,1270.0,intermediate
1,CHEMBL50117,CCN(C(=O)C1=CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)C1CCCCC1,890.0,active
2,CHEMBL108952,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](CO)c1ccccc1,19.0,active
3,CHEMBL3142655,COc1cc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)cc(OC)c1,50.0,active
4,CHEMBL337921,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1-n1ccccc1=O,10000.0,inactive
5,CHEMBL340500,Cc1cc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,10000.0,inactive
6,CHEMBL117721,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,intermediate
7,CHEMBL331807,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccc(O)nc2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,intermediate
9,CHEMBL323642,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2ccccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,inactive
10,CHEMBL433275,COC(=O)[C@H](NC(=O)[C@@H]1CCC[C@H]1C(=O)NCc1ccc(C(=N)N)cc1)c1ccccc1,20400.0,intermediate
11,CHEMBL45692,N=C(N)c1ccc(CNC(=O)[C@@H]2CCC[C@H]2C(=O)NC2CCCCC2)cc1,1320.0,active
12,CHEMBL3142745,Cc1ccc(C)c(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1,38.0,inactive
13,CHEMBL125499,O=C(CCc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1F,10000.0,active
14,CHEMBL431443,CC(O)[C@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(=O)N[C@H](C)Cc1ccccc1,43.0,active
15,CHEMBL3142679,NC(C(=O)N1CCC[C@H]1C(=O)NCc1cccc(O)c1)C(c1ccccc1)c1ccccc1,160.0,inactive
16,CHEMBL124846,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCC2=O)cc1,10000.0,intermediate
17,CHEMBL324485,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cnc3ccccc3c2)NC(=O)OCc2ccccc2)C1O,2500.0,inactive
18,CHEMBL331231,CS(=O)(=O)c1ccccc1-c1ccc(NC(=O)Cc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)cc1,10000.0,inactive
19,CHEMBL124705,O=C(Cc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCCCC2=O)cc1,10000.0,active
20,CHEMBL3349684,N[C@@H](C(=O)N1CCC[C@H]1C(=O)NC[C@H]1CC[C@H](N)CC1)C(c1ccccc1)c1ccccc1,0.1,inactive
21,CHEMBL333113,CC1CC(=O)NN=C1c1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1,10000.0,intermediate
22,CHEMBL117678,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCNC(=O)c2cccnc2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,inactive
23,CHEMBL3142706,COc1cccc(CNC(=O)[C@@H]2CCCN2C(=O)C(N)C(c2ccccc2)c2ccccc2)c1OC,10000.0,inactive
24,CHEMBL123151,O=C(COc1ccc2[nH]c(-c3ccc(Cl)s3)nc2c1)Nc1ccc(N2CCOCC2=O)cc1,10000.0,inactive
25,CHEMBL124370,Cc1cc(NC(=O)CCc2ccc3[nH]c(-c4ccc(Cl)s4)nc3c2)ccc1N1CCOCC1=O,10000.0,intermediate
26,CHEMBL420322,N=C(N)N1CCC[C@H](NC(=O)CNC(=O)[C@@H](CCCNC(=O)c2cnccn2)NS(=O)(=O)Cc2ccccc2)C1O,2500.0,active
27,CHEMBL111195,COC(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@H](Cc1ccc([N+](=O)[O-])cc1)NC(=O)CCCN=C(N)N)C(C)O)C1CCCCC1,16.0,active
